2026-03-27 19:33 <INFO>  [1m30s] 90.04s - Resetting the target for TidalVolume to 0.552269, the last target value was 0.556673 
2026-03-27 19:33 <INFO>  [1m30s] 90.04s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0406752, the last target value was 0.0408074 
2026-03-27 19:33 <INFO>  [1m30s] Converging System... it took 1.79s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m33s] 93.76s - Resetting the target for TidalVolume to 0.541113, the last target value was 0.552269 
2026-03-27 19:33 <INFO>  [1m33s] 93.76s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0405291, the last target value was 0.0406752 
2026-03-27 19:33 <INFO>  [1m37s] 97.5s - Resetting the target for TidalVolume to 0.543679, the last target value was 0.541113 
2026-03-27 19:33 <INFO>  [1m39s] 99.98s - Resetting the target for SkinTemperatureLeftLeg to 32.5488, the last target value was 32.8776 
2026-03-27 19:33 <INFO>  [1m39s] 99.98s - Resetting the target for SkinTemperatureRightLeg to 32.5488, the last target value was 32.8776 
2026-03-27 19:33 <INFO>  [1m40s] Converging System... it took 1.81s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m41s] 101.26s - Resetting the target for TidalVolume to 0.539473, the last target value was 0.543679 
2026-03-27 19:33 <INFO>  [1m41s] 101.26s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0403477, the last target value was 0.0405291 
2026-03-27 19:33 <INFO>  [1m45s] 105.04s - Resetting the target for TidalVolume to 0.535362, the last target value was 0.539473 
2026-03-27 19:33 <INFO>  [1m46s] 106.36s - Resetting the target for SkinTemperatureTorso to 33.102, the last target value was 33.4364 
2026-03-27 19:33 <INFO>  [1m48s] 108.84s - Resetting the target for TidalVolume to 0.531351, the last target value was 0.535362 
2026-03-27 19:33 <INFO>  [1m48s] 108.84s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0401621, the last target value was 0.0403477 
2026-03-27 19:33 <INFO>  [1m50s] Converging System... it took 1.84s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m51s] 111.84s - Resetting the target for HeartRate to 70.3125, the last target value was 72 
2026-03-27 19:33 <INFO>  [1m51s] 111.84s - Resetting the target for CardiacOutput to 5646.92, the last target value was 5795.04 
2026-03-27 19:33 <INFO>  [1m52s] 112.66s - Resetting the target for TidalVolume to 0.527447, the last target value was 0.531351 
2026-03-27 19:33 <INFO>  [1m52s] 112.68s - Resetting the target for HeartRate to 72, the last target value was 70.3125 
2026-03-27 19:33 <INFO>  [1m52s] 112.68s - Resetting the target for CardiacOutput to 5782.29, the last target value was 5646.92 
2026-03-27 19:33 <INFO>  [1m56s] 116.5s - Resetting the target for TidalVolume to 0.523654, the last target value was 0.527447 
2026-03-27 19:33 <INFO>  [1m56s] 116.5s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0400212, the last target value was 0.0401621 
2026-03-27 19:33 <INFO>  [2m0s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m0s] 120.36s - Resetting the target for TidalVolume to 0.519974, the last target value was 0.523654 
2026-03-27 19:33 <INFO>  [2m4s] 124.24s - Resetting the target for TidalVolume to 0.516413, the last target value was 0.519974 
2026-03-27 19:33 <INFO>  [2m8s] 128.14s - Resetting the target for TidalVolume to 0.512976, the last target value was 0.516413 
2026-03-27 19:33 <INFO>  [2m10s] Converging System... it took 1.79s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m10s] 130.28s - Resetting the target for SkinTemperatureLeftArm to 31.5847, the last target value was 31.9038 
2026-03-27 19:33 <INFO>  [2m10s] 130.28s - Resetting the target for SkinTemperatureRightArm to 31.5847, the last target value was 31.9038 
2026-03-27 19:33 <INFO>  [2m12s] 132.06s - Resetting the target for TidalVolume to 0.509669, the last target value was 0.512976 
2026-03-27 19:33 <INFO>  [2m12s] 132.06s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0399209, the last target value was 0.0400212 
2026-03-27 19:33 <INFO>  [2m14s] 134.1s - Resetting the target for SkinTemperatureHead to 31.5002, the last target value was 31.8185 
2026-03-27 19:33 <INFO>  [2m15s] 136s - Resetting the target for TidalVolume to 0.506496, the last target value was 0.509669 
2026-03-27 19:33 <INFO>  [2m19s] 139.96s - Resetting the target for TidalVolume to 0.503463, the last target value was 0.506496 
2026-03-27 19:33 <INFO>  [2m20s] Converging System... it took 1.84s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m20s] 140.3s - Resetting the target for CoreTemperature to 36.8919, the last target value was 36.9844 
2026-03-27 19:33 <INFO>  [2m23s] 143.92s - Resetting the target for TidalVolume to 0.498984, the last target value was 0.503463 
2026-03-27 19:33 <INFO>  [2m24s] 144.32s - Resetting the target for SkinTemperatureTorso to 32.7709, the last target value was 33.102 
2026-03-27 19:33 <INFO>  [2m27s] 147.88s - Resetting the target for TidalVolume to 0.496649, the last target value was 0.498984 
2026-03-27 19:33 <INFO>  [2m27s] 147.88s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0400242, the last target value was 0.0399209 
2026-03-27 19:33 <INFO>  [2m30s] Converging System... it took 1.84s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [2m31s] 151.82s - Resetting the target for SkinTemperatureLeftLeg to 32.2233, the last target value was 32.5488 
2026-03-27 19:33 <INFO>  [2m31s] 151.82s - Resetting the target for SkinTemperatureRightLeg to 32.2233, the last target value was 32.5488 
